Strain_ID,SAT-4,aad9,ant(6)-Ia,ant(6)-Ib,aph(3')-III,erm(47),erm(B),lnu(B),lnu(C),lsa(E),optrA,spw,tet(40),tet(44),tet(L),tet(M),tet(O),tet(O/W/32/O),tet(T),tet(W),vga(F)
1812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1845,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1849,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1862,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
1863,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1864,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1883,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1884,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1885,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1886,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1890,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1892,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1893,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1898,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1913,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1914,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1915,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1925,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0
1955,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2027,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
2028,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2030,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2031,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2045,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2047,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2049,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2054,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2074,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2076,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0
2077,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2078,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2079,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
2081,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2083,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2096,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
2097,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
2101,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
2109,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2147,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2154,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2157,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2159,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
2160,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2161,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2170,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2185,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
