Strain_ID,MGE
1849,ISSsu7
1862,ISSsu7
1864,ISSsu7
1883,ISSsu7
1883,ISStin2
1884,ISStin2
1885,ISStin2
1886,ISSsu7
1886,ISStin2
1890,ISSsu7
1892,IS1562
1892,ISStin2
1893,IS1562
1893,ISStin2
1901,ISSsu7
1905,ISSsu7
1912,ISStin2
1913,ISStin2
1914,ISSsu7
1914,ISStin2
1915,ISSsu7
1915,ISStin2
1925,ISSsu7
1925,ISSsu7
1925,ISSsu7
1936,ISSsu7
1982,IS1562
2027,ISSsu7
2031,IS1562
2047,ISSsu7
2047,ISSsu7
2049,ISSsu7
2054,ISSsu7
2074,ISSsu7
2074,ISSsu7
2076,ISSsu7
2079,ISSsu7
2081,ISStin2
2083,IS1562
2094,ISEc36
2097,ISSsu7
2109,ISStin2
2110,ISSsu7
2112,ISStin2
2127,ISSsu7
2128,ISStin2
2135,ISStin2
2137,ISSsu7
2137,ISStin2
2154,ISSsu7
2154,IS1562
2160,ISStin2
2161,ISSsu7
2170,ISSsu7
2170,ISStin2
2185,ISSsu7
2197,ISSsu7
2198,ISSsu7
2202,IS1562
2217,ISSsu7
2217,ISSsu7
2220,ISSsu7
2220,ISSsu7
2221,ISSsu7
2222,IS1562
2224,ISSsu7
2240,ISSsu7
2242,ISSsu7
2243,ISSsu7
2243,ISSsu7
