Strain_ID,Serotype
1812,7
1814,7
1815,7
1845,8
1849,8
1862,4
1863,8
1864,8
1883,3
1884,3
1885,3
1886,3
1890,4
1892,9
1893,9
1898,8
1901,8
1905,4
1912,3
1913,3
1914,3
1915,3
1925,4
1927,2
1934,4
1936,8
1955,3
1982,2
2008,3
2009,8
2027,4
2028,3
2030,2
2031,4
2045,14
2047,4
2049,29
2054,13
2074,9
2075,8
2076,8
2077,29
2078,30
2079,8
2081,7
2083,2
2085,2
2093,2
2094,7
2096,2
2097,3
2101,2
2109,5
2110,1
2112,9
2127,9
2128,5
2135,9
2137,9
2145,2
2147,2
2154,4
2157,2
2158,5
2159,7
2160,5
2161,14
2166,7
2168,7
2170,5
2185,4
2188,2
2194,21
2195,3
2197,3
2198,3
2201,4
2202,1
2204,2
2214,4
2217,4
2219,7
2220,4
2221,27
2222,8
2223,16
2224,9
2240,8
2241,2
2242,5
2243,10
